time,seconds_elapsed,z,y,x
1700810758515479800,3.883479736328125,-0.13915443420410156,0.03975343704223633,-0.06301204860210419
1700810758525480000,3.89347998046875,-0.024521827697753906,-0.0033478736877441406,-0.07946370542049408
1700810758535479800,3.903479736328125,0.008358955383300781,-0.021877765655517578,-0.023107610642910004
1700810758545480000,3.91347998046875,0.06050395965576172,-0.07173395156860352,0.13354045152664185
1700810758555479800,3.923479736328125,0.0914764404296875,-0.10310029983520508,0.18561740219593048
1700810758565480000,3.93347998046875,0.11122894287109375,-0.09749126434326172,0.1581723690032959
1700810758575479800,3.943479736328125,0.05772590637207031,-0.024178504943847656,0.13319091498851776
1700810758585480000,3.95347998046875,-0.040350914001464844,0.030735015869140625,0.05456438660621643
1700810758595479800,3.963479736328125,-0.12574291229248047,0.053243160247802734,-0.0012727957218885422
1700810758605480000,3.97347998046875,-0.11026763916015625,0.06082725524902344,-0.05494081974029541
1700810758615479800,3.983479736328125,-0.11411094665527344,0.06392049789428711,-0.13714563846588135
1700810758625480000,3.99347998046875,-0.13026046752929688,0.08676719665527344,-0.2231929749250412
1700810758635479800,4.003479736328125,-0.13015460968017578,0.06502151489257812,-0.1555640697479248
1700810758645480000,4.01347998046875,-0.13792705535888672,0.0900115966796875,-0.0388648621737957
1700810758655479800,4.023479736328125,-0.060128211975097656,0.1092367172241211,0.022170331329107285
1700810758665480000,4.03347998046875,0.012356758117675781,0.10007572174072266,0.03758168965578079
1700810758675479800,4.043479736328125,0.035037994384765625,0.08797311782836914,0.057817839086055756
1700810758685480000,4.05347998046875,0.012780189514160156,0.10120487213134766,-0.03738192841410637
1700810758695479800,4.063479736328125,0.03883647918701172,0.11396503448486328,-0.1357540339231491
1700810758705480000,4.07347998046875,0.03864288330078125,0.11430597305297852,-0.13173750042915344
1700810758715479800,4.083479736328125,0.033499717712402344,0.10506200790405273,-0.2369096428155899
1700810758725480000,4.09347998046875,0.07361221313476562,0.08456707000732422,-0.22666430473327637
1700810758735479800,4.103479736328125,0.06566715240478516,0.1293315887451172,-0.1699162721633911
1700810758745480000,4.11347998046875,0.055511474609375,0.09415864944458008,-0.05916048213839531
1700810758755479800,4.123479736328125,0.040902137756347656,0.02516651153564453,0.031619127839803696
1700810758765480000,4.13347998046875,0.02673625946044922,-0.003917694091796875,0.06999810039997101
1700810758775479800,4.143479736328125,-0.06825733184814453,-0.06037092208862305,0.1119711622595787
1700810758785480000,4.15347998046875,-0.09824657440185547,-0.06958961486816406,0.1334780603647232
1700810758795479800,4.163479736328125,-0.11640071868896484,-0.08574199676513672,0.1124994233250618
1700810758805480000,4.17347998046875,-0.06344890594482422,-0.09581995010375977,0.09306640177965164
1700810758815479800,4.183479736328125,-0.014019012451171875,-0.09908390045166016,0.07466916739940643
1700810758825480000,4.19347998046875,0.05607795715332031,-0.07443380355834961,0.086246058344841
1700810758835479800,4.203479736328125,0.17586517333984375,-0.022383689880371094,0.022623920813202858
1700810758845480000,4.21347998046875,0.21920204162597656,-0.0879354476928711,0.030922232195734978
1700810758855479800,4.223479736328125,0.11960029602050781,-0.07815408706665039,0.06391294300556183
1700810758865480000,4.23347998046875,0.09053897857666016,-0.022480487823486328,0.09080196917057037
1700810758875479800,4.243479736328125,0.03838157653808594,-0.0042514801025390625,0.12367767840623856
1700810758885480000,4.25347998046875,0.0014705657958984375,-0.03549385070800781,0.05562836676836014
1700810758895479800,4.263479736328125,0.02479076385498047,-0.05545854568481445,0.03858809173107147
1700810758905480000,4.27347998046875,0.026300430297851562,-0.05818891525268555,0.04450096935033798
1700810758915479800,4.283479736328125,0.029346466064453125,-0.023451805114746094,0.0419108048081398
1700810758925480000,4.29347998046875,0.017423629760742188,-0.03310823440551758,0.057504236698150635
1700810758935479800,4.303479736328125,0.02381134033203125,-0.026886463165283203,0.07564853131771088
1700810758945480000,4.31347998046875,0.020178794860839844,0.00408172607421875,0.09322261810302734
1700810758955479800,4.323479736328125,0.03564167022705078,-0.007938385009765625,0.04860708862543106
1700810758965480000,4.33347998046875,0.0991659164428711,-0.013095855712890625,-0.042373452335596085
1700810758975479800,4.343479736328125,0.1272287368774414,-0.011895179748535156,-0.07157368212938309
1700810758985480000,4.35347998046875,0.13924503326416016,-0.026347637176513672,-0.08653320372104645
1700810758995479800,4.363479736328125,0.046665191650390625,-0.018212318420410156,-0.06310892850160599
1700810759005480000,4.37347998046875,-0.07655143737792969,-0.01812458038330078,0.04511135444045067
1700810759015479800,4.383479736328125,-0.11831378936767578,0.013013362884521484,0.08182269334793091
1700810759025480000,4.39347998046875,-0.0815277099609375,0.013855934143066406,0.13468509912490845
1700810759035479800,4.403479736328125,-0.07885265350341797,0.00856924057006836,0.08802343904972076
1700810759045480000,4.41347998046875,-0.10299205780029297,0.023288249969482422,0.05889993906021118
